attack_probability,agent,detection_rate,detection_rate_std,detection_rate_ci95,false_positive_rate,false_positive_rate_std,false_positive_rate_ci95,avg_reward,avg_reward_std,avg_reward_ci95,std_reward,std_reward_std,std_reward_ci95,avg_throughput_mbps,avg_throughput_mbps_std,avg_throughput_mbps_ci95,throughput_degradation_pct,throughput_degradation_pct_std,throughput_degradation_pct_ci95,avg_latency_ms,avg_latency_ms_std,avg_latency_ms_ci95,latency_overhead_ms,latency_overhead_ms_std,latency_overhead_ms_ci95,adaptation_speed_s,adaptation_speed_s_std,adaptation_speed_s_ci95,avg_policy_switches,avg_policy_switches_std,avg_policy_switches_ci95,oscillation_rate,oscillation_rate_std,oscillation_rate_ci95,total_tp,total_tp_std,total_tp_ci95,total_fn,total_fn_std,total_fn_ci95,total_fp,total_fp_std,total_fp_ci95,total_tn,total_tn_std,total_tn_ci95
0.1,DQN,0.8933,0.0,0.0,0.007,0.0,0.0,85.1345,0.0,0.0,1.7605,0.0,0.0,44.3501,0.0,0.0,55.6499,0.0,0.0,30.0033,0.0,0.0,25.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8225.0,0.0,0.0,982.0,0.0,0.0,628.0,0.0,0.0,89372.0,0.0,0.0
0.1,PPO,0.8998,0.0,0.0,0.0068,0.0,0.0,87.3124,0.0,0.0,3.0843,0.0,0.0,46.9258,0.0,0.0,53.0742,0.0,0.0,28.9619,0.0,0.0,23.9619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8332.0,0.0,0.0,928.0,0.0,0.0,613.0,0.0,0.0,89387.0,0.0,0.0
0.2,DQN,0.8913,0.0,0.0,0.0062,0.0,0.0,87.1923,0.0,0.0,1.6533,0.0,0.0,48.1628,0.0,0.0,51.8372,0.0,0.0,28.5027,0.0,0.0,23.5027,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.002,0.0,0.0,8259.0,0.0,0.0,1007.0,0.0,0.0,557.0,0.0,0.0,89443.0,0.0,0.0
0.2,PPO,0.8986,0.0,0.0,0.0068,0.0,0.0,87.996,0.0,0.0,1.3501,0.0,0.0,48.9677,0.0,0.0,51.0323,0.0,0.0,27.7721,0.0,0.0,22.7721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8360.0,0.0,0.0,943.0,0.0,0.0,612.0,0.0,0.0,89388.0,0.0,0.0
0.3,DQN,0.8977,0.0,0.0,0.0067,0.0,0.0,87.2739,0.0,0.0,1.7124,0.0,0.0,47.2976,0.0,0.0,52.7024,0.0,0.0,28.3944,0.0,0.0,23.3944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8324.0,0.0,0.0,949.0,0.0,0.0,607.0,0.0,0.0,89393.0,0.0,0.0
0.3,PPO,0.8953,0.0,0.0,0.0066,0.0,0.0,87.1994,0.0,0.0,0.8752,0.0,0.0,47.7933,0.0,0.0,52.2067,0.0,0.0,28.9728,0.0,0.0,23.9728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8317.0,0.0,0.0,973.0,0.0,0.0,598.0,0.0,0.0,89402.0,0.0,0.0
0.4,DQN,0.8965,0.0,0.0,0.0068,0.0,0.0,89.8838,0.0,0.0,2.3716,0.0,0.0,52.5264,0.0,0.0,47.4736,0.0,0.0,26.3784,0.0,0.0,21.3784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8299.0,0.0,0.0,958.0,0.0,0.0,611.0,0.0,0.0,89389.0,0.0,0.0
0.4,PPO,0.8928,0.0,0.0,0.0075,0.0,0.0,86.6949,0.0,0.0,1.2167,0.0,0.0,48.3624,0.0,0.0,51.6376,0.0,0.0,28.3328,0.0,0.0,23.3328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8227.0,0.0,0.0,988.0,0.0,0.0,674.0,0.0,0.0,89326.0,0.0,0.0
0.5,DQN,0.8938,0.0,0.0,0.0066,0.0,0.0,87.0092,0.0,0.0,4.0474,0.0,0.0,47.3811,0.0,0.0,52.6189,0.0,0.0,28.6799,0.0,0.0,23.6799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8345.0,0.0,0.0,992.0,0.0,0.0,590.0,0.0,0.0,89410.0,0.0,0.0
0.5,PPO,0.8967,0.0,0.0,0.0069,0.0,0.0,85.8143,0.0,0.0,2.4495,0.0,0.0,45.3657,0.0,0.0,54.6343,0.0,0.0,29.6444,0.0,0.0,24.6444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8253.0,0.0,0.0,951.0,0.0,0.0,625.0,0.0,0.0,89375.0,0.0,0.0
